Row Labels,College Graduates,Highschool Graduates,First Year Students
Alabama,26.2,90,65.95
Alaska,30,78.5,41.14
Arizona,30.3,78.7,50.09
Arkansas,23.8,89.2,63.13
California,34.7,83,66.01
Colorado,41.6,80.8,57.98
Connecticut,40,88.4,78.05
Delaware,32.7,86.9,70.93
Florida,30.5,86.3,64.56
Georgia,32.2,81.6,65.37
Hawaii,33.6,84.5,61.39
Idaho,28.7,80.7,43.93
Illinois,35.5,86.5,61.72
Indiana,27.2,88.1,61.32
Iowa,29.3,91.4,65.98
Kansas,33.9,87.2,61.9
Kentucky,25,90.3,64.08
Louisiana,24.9,81.4,68.78
Maine,32.5,86.7,58.8
Maryland,40.9,87.1,65.38
Massachusetts,44.5,87.8,74.09
Michigan,30,80.6,64.79
Minnesota,36.8,83.2,67.72
Mississippi,22.8,84,80.47
Missouri,29.9,89.2,59.27
Montana,33.1,86.4,53.97
Nebraska,32.5,88.7,62.58
Nevada,25.5,83.2,58.16
New Hampshire,37.6,88.8,61.2
New Jersey,40.7,90.9,74.02
New Mexico,28.1,73.9,60.71
New York,37.5,82.3,72.42
North Carolina,32,86.3,63.29
North Dakota,30.7,88.1,61.15
Ohio,28.9,82.1,63.24
Oklahoma,26.1,81.8,57.27
Oregon,34.4,78.7,55.63
Pennsylvania,32.3,85.9,61.9
Rhode Island,35,84,69.81
South Carolina,29,81,68.89
South Dakota,29.3,84.1,69.32
Tennessee,28.2,90,68.65
Texas,30.7,90,57.59
Utah,34.7,87,46.96
Vermont,39.7,85.1,55.11
Virginia,39.5,87.5,69
Washington,36.7,86.7,53.23
West Virginia,21.3,90.2,54.85
Wisconsin,30.8,89.7,58.28
Wyoming,28.2,81.7,56.12
Grand Total,1600,4266.2,3116.18
