ID,Type,Million $,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
1,U.S. imports,Million $,"199,835.80","174,144.80","147,631.00","142,987.40","140,916.90","132,511.30","125,437.80","123,350.70","121,825.00","111,777.70","108,811.00","104,482.80","88,457.00","78,472.30","85,752.10","77,937.80","71,925.60","65,311.70","59,268.30","53,102.20","47,205.10","44,396.40","43,788.60","41,825.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Live meat animals,Million $,"2,509.60","2,298.90","2,158.10","2,253.40","2,029.40","2,016.30","2,103.30","2,774.90","3,009.90","2,193.00","2,196.30","1,893.30","2,014.00","1,661.50","2,277.10","2,596.40","2,173.90","1,673.30","1,139.40","1,278.00","1,725.20","1,772.00","1,420.30","1,190.60"
3,Meats,Million $,"14,055.40","13,194.10","10,384.60","9,668.90","9,251.20","8,875.20","8,587.20","9,991.70","8,940.30","6,529.90","6,245.20","5,755.30","5,087.90","4,612.10","5,059.80","5,367.40","5,243.70","5,752.00","5,718.50","4,426.90","4,283.50","4,256.20","3,827.70","3,260.50"
4,Fish and shellfish 2/,Million $,"30,525.50","28,493.00","21,832.20","22,469.10","22,900.90","21,924.90","19,638.40","18,877.90","20,363.30","18,059.60","16,792.60","16,509.30","14,545.90","12,954.00","13,950.50","13,466.40","13,145.70","11,876.40","11,138.70","10,892.70","10,000.90","9,697.50","9,946.70","8,914.40"
5,Dairy,Million $,"2,721.40","2,459.50","2,140.80","2,195.70","2,063.10","1,876.90","1,907.20","1,911.50","1,871.60","1,712.10","1,636.70","1,524.50","1,363.10","1,366.20","1,622.50","1,540.80","1,429.50","1,404.50","1,303.70","1,118.70","1,013.90","1,000.40",925.6,931.4
6,Vegetables,Million $,"15,754.30","16,838.20","15,590.30","13,974.80","13,419.10","12,670.50","12,409.20","11,227.10","10,880.90","10,687.60","9,899.30","9,645.40","8,693.30","7,512.80","7,798.40","7,254.60","6,617.90","6,044.30","5,735.80","5,094.80","4,397.70","4,160.80","3,772.00","3,631.80"
7,Fruits,Million $,"27,083.80","23,668.80","20,492.10","20,313.80","19,539.30","18,384.60","17,157.80","15,954.80","14,807.70","13,602.30","12,537.90","12,158.60","10,814.00","9,799.90","10,064.70","9,384.10","7,833.20","7,003.60","6,047.30","5,631.40","5,138.80","4,741.90","4,692.20","4,827.40"
8,Nuts,Million $,"2,944.80","3,157.40","2,786.10","3,191.00","3,502.10","3,312.20","2,877.90","2,776.10","2,370.00","2,019.40","2,077.40","1,881.60","1,468.80","1,285.00","1,358.30","1,190.80","1,100.40","1,122.10","1,079.70",781.3,740,717,849.2,833.3
9,"Coffee, tea, and spices",Million $,"12,980.60","9,818.70","8,346.20","8,427.30","8,454.70","9,066.70","8,311.30","8,536.20","8,298.80","7,633.20","8,725.70","9,715.80","6,265.00","5,160.30","5,580.80","4,791.20","4,200.40","3,775.70","3,148.80","2,875.50","2,457.80","2,403.40","3,444.30","3,605.90"
10,Grains,Million $,"19,470.00","15,255.90","13,924.50","13,035.50","12,562.10","11,257.60","10,558.40","10,360.10","10,363.70","10,584.60","9,387.80","8,303.70","7,348.10","7,035.60","7,902.30","6,104.90","5,076.40","4,412.20","4,176.20","3,759.20","3,477.40","3,100.70","2,833.80","2,755.60"
11,Vegetable oils,Million $,"12,850.80","9,600.80","6,682.10","6,303.50","6,989.20","7,216.00","6,523.30","6,304.10","7,336.60","6,664.50","6,235.90","6,793.60","4,508.80","4,039.40","5,694.60","3,516.70","2,818.30","2,362.60","2,241.00","1,506.50","1,301.70","1,309.80","1,501.00","1,518.70"
12,Sugar and candy,Million $,"7,074.80","5,877.40","5,318.30","4,810.10","4,803.90","4,807.50","4,802.90","4,829.40","4,705.40","4,462.90","4,931.80","5,305.00","4,185.20","3,205.60","3,108.10","2,707.60","3,145.60","2,579.40","2,193.20","2,205.00","1,928.10","1,684.90","1,642.00","1,661.90"
13,Cocoa and chocolate,Million $,"6,055.50","5,634.10","5,052.40","4,977.10","4,712.60","5,012.60","5,080.90","4,859.90","4,728.60","4,159.50","4,096.20","4,681.00","4,295.60","3,476.40","3,299.20","2,661.60","2,659.70","2,751.20","2,485.20","2,440.20","1,761.90","1,536.90","1,405.90","1,523.10"
14,Other edible products,Million $,"29,732.80","18,825.40","16,554.40","15,270.50","14,929.30","10,871.70","11,921.10","12,105.30","12,134.50","12,178.20","13,153.80","10,141.60","8,574.10","7,613.60","8,176.20","7,415.80","7,242.70","6,643.20","5,813.30","4,470.90","3,160.60","2,891.70","2,689.30","2,737.10"
15,Beverages 3/,Million $,"16,076.50","19,022.60","16,368.90","16,096.70","15,760.00","15,218.60","13,558.90","12,841.70","12,013.70","11,290.90","10,894.40","10,174.10","9,293.20","8,749.90","9,859.60","9,939.50","9,238.20","7,911.20","7,047.50","6,621.10","5,817.60","5,123.20","4,838.60","4,433.30"
,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Animals,Million $,"49,811.90","46,445.50","36,515.70","36,587.10","36,244.60","34,693.30","32,236.10","33,556.00","34,185.10","28,494.60","26,870.80","25,682.40","23,010.90","20,593.80","22,909.90","22,971.00","21,992.80","20,706.20","19,300.30","17,716.30","17,023.50","16,726.10","16,120.30","14,296.90"
17,Plants,Million $,"133,947.40","108,676.70","94,746.40","90,303.60","88,912.30","82,599.40","79,642.80","76,953.00","75,626.20","71,992.20","71,045.80","68,626.30","56,152.90","49,128.60","52,982.60","45,027.30","40,694.60","36,694.30","32,920.50","28,764.80","24,364.00","22,547.10","22,829.70","23,094.80"
18,Beverages 3/,Million $,"16,076.50","19,022.60","16,368.90","16,096.70","15,760.00","15,218.60","13,558.90","12,841.70","12,013.70","11,290.90","10,894.40","10,174.10","9,293.20","8,749.90","9,859.60","9,939.50","9,238.20","7,911.20","7,047.50","6,621.10","5,817.60","5,123.20","4,838.60","4,433.30"
